BusinessName,City,Phone,Website,AfterHoursVoicemail,FormTestResult,ResponseTimeMinutes,Notes,Status,NextFollowUpDate,LastContactDate,ContactEmail,ContactFormUrl
5 Star HVAC,Rowlett,+19728489414,https://5starhvaccontractors.com/,,,,"Contact:https://5starhvaccontractors.com/contact-us/; MapsAddress: 3906 Melcer Dr #302, Rowlett, TX 75088",New,,,support@5starhvaccontractors.com,https://5starhvaccontractors.com/contact-us/
MHC Air Services (MetroHC),Rockwall,+19722793400,https://www.metrohc.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Rockwall-TX,,,,"Contact:https://www.metrohc.com/contact-us/; MapsAddress: 1960 INTERSTATE 30, Rockwall, TX 75087",New,,,,https://www.metrohc.com/contact-us/
TexSun Heat & Air Inc.,Quinlan,+19729744508,http://texsunhvac.com/,,,,"Contact:https://www.texsunhvac.com/contact; MapsAddress: 7201 FM2101, Quinlan, TX 75474;OutreachEmail1Sent:2026-02-03 angle=5-website-form",Contacted,2026-02-05,2026-02-03,texsunhvac@gmail.com,https://www.texsunhvac.com/contact
Rockwall Electric Heating and Air,Royse City,+19724600058,https://www.rockwallelectricheatingandair.com/,,,,"Contact:https://www.rockwallelectricheatingandair.com/request-service; MapsAddress: 6107 I-30 Frontage Rd, Royse City, TX 75189",New,,,,https://www.rockwallelectricheatingandair.com/request-service
Burton Heat and Air,Rockwall,+14696234288,http://www.burtonheatandair.com/,,,,"Contact:https://burtonheatandair.com/#contactus; MapsAddress: 405 Blue Sage, Rockwall, TX 75087;OutreachEmail1Sent:2026-02-03 angle=1-missed-call",Contacted,2026-02-05,2026-02-03,service@burtonheatandair.com,https://burtonheatandair.com/#contactus
Lyons Air & Heat,Rockwall,+12144322859,http://www.acrepairsrockwall.com/,,,,"Contact:https://book.housecallpro.com/book/Lyons-Air--Heat/aad5cf3887804d359a988279a0f963ec; MapsAddress: 1470 I-30 Frontage Rd, Rockwall, TX 75087",New,,,,https://www.acrepairsrockwall.com/contact-us/
Honea Central Air,Rockwall,+19727710288,https://www.honeaair.com/,,,,"Contact: https://www.honeaair.com/ (contact form on site); MapsAddress: 105 N Fannin St, Rockwall, TX 75087",New,,,honea1@sbcglobal.net,https://www.honeaair.com/contact-us/
Neighborhood Heating & Air Conditioning,Rockwall,+12143816261,http://www.neighborhoodheatingandair.com/,,,,"Reach-us section on site (phone/email not extracted via text fetch; may need HTML scrape).; Contact:https://www.neighborhoodheatingandair.com/contact/; MapsAddress: 709 W Rusk St, Rockwall, TX 75087",New,,,,https://www.neighborhoodheatingandair.com/contact/
Apple AC & Heat Services,Rockwall,+14697653340,http://www.acheatservices.com/,,,,"Site mentions contact form; needs extraction of phone/email.; Contact:https://acheatservices.com/; MapsAddress: 709 Country Club Dr, Rockwall, TX 75032",New,,,john@appleacheat.com,https://acheatservices.com/contact-us/
Xtreme Air Services,Sunnyvale,+19722882263,https://xtremeairservices.com/,,,,"Email found in page text; Contact:https://xtremeairservices.com/forney-ac-repair/; MapsAddress: 308 U.S. 80 Frontage Rd, Sunnyvale, TX 75182",New,,,servicetoday@xtremeairservices.com,https://xtremeairservices.com/contact/
"Swan Electric, Plumbing, Heating & Air",Sunnyvale,+14692409295,http://callswan.com/,,,,"Contact:https://www.callswan.com/contact-us; MapsAddress: 309 U.S. 80 Frontage Rd, Sunnyvale, TX 75182",New,,,dispatch@callswan.com,https://www.callswan.com/contact
Lakeside Air,Forney,+12146427468,https://www.lakeside-air.com/,,,,"Phone found on site; Contact:https://lakeside-air.com/; MapsAddress: 13250 FM740, Forney, TX 75126",New,,,,https://www.lakeside-air.com/contact.html
Tempo Air,Irving,+19725792000,https://tempoair.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,,,"Phone found in page text; Contact:https://tempoair.com/locations/ac-repair-forney-tx/; MapsAddress: 911 Maryland Dr, Irving, TX 75061",New,,,info@tempoair.com,https://tempoair.com/contact-us/
"Baker Brothers Plumbing, Air Conditioning & Electric",Mesquite,+12143248811,https://bakerbrothersplumbing.com/?utm_campaign=gmb_bk-msq_home_everyone_gmb-mesquite&utm_medium=gmb&utm_source=google,,,,"MapsAddress: 2615 Big Town Blvd, Mesquite, TX 75150",New,,,,https://bakerbrothersplumbing.com/about-us/contact-us/
A#1 Air,Lewisville,+19724600001,https://anumber1air.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*319*a1-air-lewisville,,,,"Readable extract did not include a phone number (may be header/JS-rendered). Contact:https://anumber1air.com/contact-us/; MapsAddress: 601 E Corporate Dr, Lewisville, TX 75057",New,,,info@anumber1air.com,https://anumber1air.com/contact/
Davis Mechanical HVAC,Rockwall,+12147947153,http://acrockwall.com/,,,,No phone/email visible in readability extract; may be in header/JS. (License #TACLB123249E).; MapsMissing: address,New,,,,https://acrockwall.com/contact-us
"Comfort Experts, Inc.",Fort Worth,+18176781287,https://comfortexpertsinc.com/?utm_source=GMB&utm_medium=organic&utm_campaign=fort_worth,,,,"MapsAddress: 4255 Bryant Irvin Rd Ste 211, Fort Worth, TX 76109",New,,,,https://comfortexpertsinc.com/contact-us/
Lex Air Conditioning and Heating,Plano,+19724661917,https://www.lexairconditioning.com/,,,,"Contact:https://www.lexairconditioning.com/contact-us/; MapsAddress: 901 Jupiter Rd, Plano, TX 75074",New,,,,https://www.lexairconditioning.com/contact-us/
Rockwall HVAC Repair,Rockwall,+19725213915,https://www.rockwallhvacrepair.com/,,,,Contact:https://www.rockwallhvacrepair.com/contact.html; MapsMissing: address/website,New,,,,https://www.rockwallhvacrepair.com/contact.html
On the Spot HVAC,Allen,+19729550786,https://onthespothvac.com/?utm_source=GBP&utm_medium=GBP,,,,"MapsAddress: 333 E Bethany Dr BLDG G, Allen, TX 75002",New,,,info@onthespothvac.com,https://onthespothvac.com/contact-us/
Milestone Home Service Co.,Heath,+19723384838,https://callmilestone.com/heath/cooling/,,,,"No phone/email visible in readability extract. Contact:https://callmilestone.com/contact/; MapsAddress: 4232 Ridge Rd #105, Heath, TX 75032",New,,,contact-us@callmilestone.com,https://callmilestone.com/contact-us/
Martin Heating & Air,Wylie,+14693809864,http://www.martinairandheat.com/,,,,"No phone/email visible in readability extract. Try contact page. Contact:https://www.martinairandheat.com/contact; MapsAddress: 3971 Skyview Ct #100A, Wylie, TX 75098",New,,,service@martinairandheat.com,https://www.martinairandheat.com/contact-us
1st Class Heat & Air,Plano,+19728957278,https://1stclassairservice.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,,,,"Contact:https://1stclassairservice.com/areas-we-serve/heath/; MapsAddress: 2712 S Rigsbee Dr #5, Plano, TX 75074",New,,,,https://1stclassairservice.com/contact-us/
"Moore A/C & Heating Services, Inc.",Rowlett,+19724753536,http://www.moorecomfort.com/,,,,"Contact:https://www.moorecomfort.com/contact/; MapsAddress: 4216 Main St, Rowlett, TX 75088",New,,,info@moorecomfort.com,https://www.moorecomfort.com/about/contact-us/
Aire Serv of Rockwall,Heath,+12148387192,https://www.aireservdallas.com/ac-repair-rockwall-tx-hvac-company,,,,No phone/email visible in readability extract (likely header/JS). Contact:https://www.aireserv.com/rockwall/contact-us/; MapsMissing: address,New,,,dallas.tx@aireservdallas.com,https://www.aireservdallas.com/contact
Advanced Texas Air Conditioning,Rowlett,+12142389373,https://www.advancedtexasair.com/,,,,"Call (214) 238-9373 per site; likely serves Rowlett/Wylie; contact form on site. | Contact:https://www.advancedtexasair.com/contact/; MapsAddress: 7509 Normandy Dr, Rowlett, TX 75089",New,,,,https://www.advancedtexasair.com/contact/
"StevenSons Heating & Air Conditioning, Inc.",Rowlett,+19724753227,https://www.stevensonshvac.com/,,,,"License TACLA10550C; phone (972) 475-3227 per service-area page/snippets.; MapsAddress: 5211 Gordon Smith Dr, Rowlett, TX 75088",New,,,tina@stevensonshvac.com,https://www.stevensonshvac.com/contact
Acclaim Air Conditioning & Heating LLC,Rowlett,+12143253177,https://www.acclaimac.com/,,,,"Phone 214-325-3177 found in site footer/navigation; 4931 Boyd Blvd Suite B Rowlett TX 75088. | Contact:https://www.acclaimac.com/ (contact page 404 in web_fetch; request form appears on site); MapsAddress: 4931 Boyd Blvd B, Rowlett, TX 75088",New,,,,https://www.acclaimac.com/contact-us
A/C & Heating Installation Team,Rowlett,+19722807973,https://acheatingteam.com/?utm_campaign=gmb,,,,Site shows primary phone (972) 877-1990; also saw acheating@gmail.com.; MapsMissing: address,New,,,acheatingteam@gmail.com,https://acheatingteam.com/contact-us/
Arthur Heating & Air,Rowlett,+18664584765,https://www.callarthurair.com/,,,,Phone (866) 458-4765 per search snippet; Yelp also lists (469) 515-2900—verify during outreach.,New,,,info@callarthurair.com,https://www.callarthurair.com/contact/
Aire Texas Heating & Air Conditioning,Rowlett,+19727341791,https://airetexas.com/service-areas/rowlett-tx-air-conditioning-heating/,,,,Phone (972) 734-1791 per page text.,New,,,,https://airetexas.com/contact/send-message/
B&W Services,Royse City,+19726352655,https://www.bwservicestx.com/,,,,Contact:https://www.bwservicestx.com/contact-us,New,,,,https://www.bwservicestx.com/contact-us
True Blue Heat and Air LLC,Royse City,+19035137753,https://www.trueblueheatandair.com/,,,,Contact:https://www.trueblueheatandair.com/contact,New,,,,https://www.trueblueheatandair.com/contact
Greenstar Heating & Cooling,Royse City,+19034412082,https://greenstarhvactx.com/royse-city-tx/,,,,Contact:https://greenstarhvactx.com/contact-us/,New,,,greenstarheatingandair@gmail.com,https://greenstarhvactx.com/contact-us/
Spencer Air Conditioning & Heating,Royse City,+19725446921,https://spencerairconditioning.com/heating-air-conditioning-royse-city-tx/,,,,Contact:https://spencerairconditioning.com/contact/,New,,,service@spencerairconditioning.com,https://spencerairconditioning.com/contact/
SubCooling Air Services,Royse City,+14697332912,https://subcoolingairservices.com/,,,,Contact:https://subcoolingairservices.com/,New,,,,https://subcoolingairservices.com/contact-us/
Cliff's Heating & Air,Terrell,+19725638634,https://www.cliffsheatingandair.com/,,,,Contact:https://www.cliffsheatingandair.com/contact,New,,,,https://www.cliffsheatingandair.com/contact
System Control Air Conditioning & Heating,Terrell,+19725249056,https://www.systemcontrolinc.com/,,,,Contact:https://www.systemcontrolinc.com/contact,New,,,raneely@sbcglobal.net,https://www.systemcontrolinc.com/contact
Phillips AC and Heating,Terrell,+19725633922,https://www.phillipsacandheating.com/,,,,,New,,,phillipsairheat@gmail.com,https://www.phillipsacandheating.com/contact
"All-A-Round A/C, Heating & Refrigeration, LLC",Terrell,+19725643077,https://allaroundac.com/,,,,Contact:https://allaroundac.com/contact/,New,,,,https://allaroundac.com/contact/
"Thomas Heating and Air, LLC",Terrell,+19033684633,https://www.thomasheatair.com/terrell-tx-heating-air-conditioning-contractor/,,,,,New,,,,
Schnorrbusch Heating & Air Conditioning,Terrell,+14693148001,https://schnorrbuschac.com/,,,,,New,,,,
"Mesquite Heating and Air Conditioning, Inc.",Mesquite,+19722897414,https://www.mesquiteheatingandair.com/,,,,Contact:https://www.mesquiteheatingandair.com/contact,New,,,,
Jason's Air-Tex Services,Mesquite,+19722853700,https://www.jasonsairtex.com/,,,,After-hours 972-289-9900; Contact:https://www.jasonsairtex.com/contact,New,,,,
Airtron,Mesquite,+12145566792,https://airtron.com/dallas/service-areas/mesquite-texas/,,,,Contact:https://airtron.com/contact-us/ (form; phone not visible in readability extract),New,,,,
Lavender AC & Heating,Mesquite,+14697040244,https://www.lavenderac.com/,,,,,New,,,,
Longhorn Heating & Air Conditioning,Rowlett,+19724750009,https://longhornhvac.com/,,,,Contact:https://longhornhvac.com/contact/,New,,,,
Barnaby Heating and Air,Rowlett,+19724120150,https://barnabyheatingandair.com/,,,,,New,,,,
AC Wizard,Rowlett,+12143422665,https://www.acwizard.com/,,,,Contact:https://www.acwizard.com/contact-us/,New,,,,
"Milestone Electric, A/C, & Plumbing",Rowlett,+14699361022,https://www.callmilestone.com/,,,,Source: Google Maps search HVAC Rowlett TX,New,,,,
Rowlett AC Repair Pros,Rowlett,+14693745933,,,,,Source: Google Maps search HVAC Rowlett TX,New,,,,
"Rowlett Air, Inc.",Rowlett,+19724751082,https://www.rowlettair.net/,,,,Source: Google Maps search HVAC Rowlett TX,New,,,,
Air Service Now,Rowlett,+14696022169,https://airservicenowdfw.com/,,,,Source: Google Maps search HVAC Rowlett TX,New,,,,
Copeland Heating Air Conditioning Plumbing and Electrical Repair Services,Forney,+14697204440,https://copelandairtexas.com/,,,,Source: Google Maps query HVAC Forney TX,New,,,,
Van Ness Heating And Air,Forney,+12147238987,http://www.vannessheatingandair.com/,,,,Source: Google Maps query HVAC Forney TX,New,,,,
Bolton Heating & Air,Forney,+12149097615,https://boltonac.com/,,,,Source: Google Maps query HVAC Forney TX,New,,,,
Fox Air and Heat Inc,Forney,+14692902221,https://www.foxairandheat.com/?utm_campaign=gmb,,,,Source: Google Maps query HVAC Forney TX,New,,,,
"Cyclone Heating and Air Conditioning Forney, TX",Forney,+14697578611,https://cyclonehvacrepair.com/,,,,Source: Google Maps query HVAC Forney TX,New,,,,
Texas Choice Heating And Air,Rockwall,+14699983133,https://texaschoicehvac.com/ac-repair-rockwall/,,,,Source: Google Maps query HVAC Rockwall TX,New,,,,
One Hour Heating & Air Conditioning,Rockwall,+14694022510,https://www.onehouracdallas.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,Source: Google Maps query HVAC Rockwall TX,New,,,,
Bacon Plumbing Heating Air Electric,Rockwall,+19726452738,https://www.everyonelovesbacon.com/rockwall-tx/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=rockwallgbp,,,,Source: Google Maps query HVAC Rockwall TX,New,,,,
Firehouse Heating and Air,Rockwall,+14692473234,https://firehouseheatingandair.com/?utm_source=GBP&utm_medium=organic,,,,Source: Google Maps query HVAC Rockwall TX,New,,,,
Nova Air LLC,Rockwall,+12145522008,https://novaairac.com/,,,,Source: Google Maps query HVAC Rockwall TX; Contact:https://www.novaairac.com/,New,,,,
Rockwall Air,Rockwall,+19728494224,http://rockwallair.com/,,,,Source: Google Maps query HVAC Rockwall TX,New,,,,
"D&E Heating & Air, LLC",Rockwall,+12145013775,,,,,Source: Google Maps query HVAC Rockwall TX,New,,,,
Kool Koncepts,Wylie,+19725145665,https://www.koolkoncepts.com/wylie-texas,,,,Alt email: todd@koolkoncepts.com,New,,,,
K&S Heating & Air Conditioning,Wylie,+19722719319,https://kandsac.com/,,,,Contact:https://kandsac.com/contact/,New,,,,
Ewing Air Conditioning & Heating,Wylie,+19726932343,https://ewingairconditioningheating.com/,,,,Contact:https://ewingairconditioningheating.com/contact-us/,New,,,,
